split0_test_rmse,split1_test_rmse,split2_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_n_factors,param_lr_all,param_reg_all,param_n_epochs
3.204011493462506,3.205127317530203,3.198838208816675,3.202659006603128,0.002739846422853721,224,11.77326758702596,0.27347922799584823,2.3038651943206787,0.2107868655151976,"{'n_factors': 50, 'lr_all': 0.005, 'reg_all': 0.02, 'n_epochs': 40}",50,0.005,0.02,40
3.2046078833149676,3.2018197727487365,3.210505969269487,3.20564454177773,0.0036210954213319554,229,14.199920892715454,0.6293058702891957,2.1410011450449624,0.04464464117804852,"{'n_factors': 50, 'lr_all': 0.005, 'reg_all': 0.02, 'n_epochs': 50}",50,0.005,0.02,50
3.14488618591873,3.143036253766889,3.15046726883133,3.146129902838983,0.0031585988513136106,193,5.76818044980367,0.33554703779993805,2.208608706792196,0.19222633669631126,"{'n_factors': 50, 'lr_all': 0.005, 'reg_all': 0.05, 'n_epochs': 20}",50,0.005,0.05,20
3.1674383059330387,3.1688516714605037,3.169833189818723,3.1687077224040885,0.0009829914223463889,202,8.381836891174316,0.1448699166011322,2.1686227321624756,0.16796425115796668,"{'n_factors': 50, 'lr_all': 0.005, 'reg_all': 0.05, 'n_epochs': 30}",50,0.005,0.05,30
3.1735488848656646,3.1707264179171846,3.1763394321161256,3.1735382449663248,0.0022915158018179138,204,11.164247512817383,0.5127938049956391,2.145587682723999,0.11021295507800477,"{'n_factors': 50, 'lr_all': 0.005, 'reg_all': 0.05, 'n_epochs': 40}",50,0.005,0.05,40
3.1761670151845665,3.1798613181117865,3.184458799645844,3.180162377647399,0.0033917940209726096,212,14.040602048238119,0.4979618822178555,2.38816237449646,0.3167560025673375,"{'n_factors': 50, 'lr_all': 0.005, 'reg_all': 0.05, 'n_epochs': 50}",50,0.005,0.05,50
3.1199580098015898,3.1211497180266674,3.1217233992704156,3.120943709032891,0.0007352912227128871,160,6.185425599416097,0.14780392601787698,2.0772743225097656,0.12253254901289433,"{'n_factors': 50, 'lr_all': 0.005, 'reg_all': 0.1, 'n_epochs': 20}",50,0.005,0.1,20
3.1413488192128374,3.1449850318719386,3.1477384904205894,3.1446907805017883,0.0026168572037745604,191,8.539783875147501,0.6543938865323037,2.074191172917684,0.11819726449608359,"{'n_factors': 50, 'lr_all': 0.005, 'reg_all': 0.1, 'n_epochs': 30}",50,0.005,0.1,30
3.1517052735301148,3.1528635663691187,3.1561618528508126,3.1535768975833487,0.0018880158679266304,198,11.51639723777771,0.518127415427078,2.1975878874460855,0.08294482301496357,"{'n_factors': 50, 'lr_all': 0.005, 'reg_all': 0.1, 'n_epochs': 40}",50,0.005,0.1,40
3.16190786336785,3.167480670039708,3.1648062314601177,3.164731588289225,0.002275700954680006,201,13.641533533732096,0.33079645223824333,2.043057998021444,0.038204841998051645,"{'n_factors': 50, 'lr_all': 0.005, 'reg_all': 0.1, 'n_epochs': 50}",50,0.005,0.1,50
3.1953468942361147,3.2102291092972286,3.207200082710766,3.204258695414703,0.006421780682458276,227,5.7688829104105634,0.19498113071851536,2.1917923291524253,0.09675777443019654,"{'n_factors': 50, 'lr_all': 0.01, 'reg_all': 0.02, 'n_epochs': 20}",50,0.01,0.02,20
